,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
3882.2326,0,0,0,0,0,0,0,0
3880.30402,0,0,0,0,0,0,0,0
3878.37544,0,0,0,0,0,0,0,0
3876.44686,0,0,0,0,0,0,0,0
3874.51828,0,0,0,0,0,0,0,0
3872.5897,0,0,0,0,0,0,0,0
3870.66112,0,0,0,0,0,0,0,0
3868.73253,0,0,0,0,0,0,0,0
3866.80395,0,0,0,0,0,0,0,0
3864.87537,0,0,0,0,0,0,0,0
3862.94679,0,0,0,0,0,0,0,0
3861.01821,0,0,0,0,0,0,0,0
3859.08963,0,0,0,0,0,0,0,0
3857.16105,0,0,0,0,0,0,0,1
3855.23247,0,0,0,0,0,0,0,0
3853.30389,0,0,0,0,0,0,0,0
3851.37531,0,0,0,0,0,0,0,1
3849.44673,0,0,0,0,0,0,0,0
3847.51815,0,0,0,0,0,0,0,0
3845.58957,0,0,0,0,0,0,0,0
3843.66099,0,0,0,0,0,0,0,0
3841.73241,0,0,0,0,0,0,0,0
3839.80383,0,0,0,0,0,0,0,0
3837.87525,0,0,0,0,0,0,0,0
3835.94667,0,0,0,0,0,0,0,0
3834.01809,0,0,0,0,0,0,0,0
3832.0895,0,0,0,0,0,0,0,0
3830.16092,0,0,0,0,0,0,0,0
3828.23234,0,0,0,0,0,0,0,0
3826.30376,0,0,0,0,0,0,0,0
3824.37518,0,0,0,0,0,0,0,0
3822.4466,0,0,0,1,0,0,0,0
3820.51802,0,0,1,0,0,0,0,0
3818.58944,0,0,0,0,0,0,0,0
3816.66086,0,0,0,0,0,0,0,0
3814.73228,0,0,1,1,0,0,0,0
3812.8037,0,0,0,0,0,0,0,0
3810.87512,0,0,0,0,0,0,0,0
3808.94654,0,0,1,0,0,0,0,0
3807.01796,0,0,0,0,0,0,0,0
3805.08938,0,1,0,0,0,0,0,0
3803.1608,0,0,0,0,0,0,0,0
3801.23222,0,0,0,0,0,0,0,0
3799.30364,0,0,0,0,0,0,0,0
3797.37506,0,0,0,0,0,0,0,0
3795.44647,0,0,0,0,0,0,0,0
3793.51789,0,0,0,0,0,0,0,0
3791.58931,0,0,0,0,0,0,0,0
3789.66073,0,0,0,0,0,0,0,0
3787.73215,0,0,0,0,0,0,0,0
3785.80357,0,0,0,0,0,0,0,0
3783.87499,1,0,0,0,0,0,0,0
3781.94641,0,0,0,0,0,0,0,0
3780.01783,0,0,0,0,0,0,0,0
3778.08925,0,0,0,0,0,0,0,0
3776.16067,0,0,0,0,0,0,0,0
3774.23209,0,0,0,0,1,1,1,0
3772.30351,0,0,0,0,0,0,0,0
3770.37493,0,0,0,0,0,0,0,0
3768.44635,0,0,0,0,0,0,0,0
3766.51777,0,0,0,0,0,0,0,0
3764.58919,0,0,0,0,0,1,0,0
3762.66061,0,0,0,0,0,0,0,0
3760.73203,0,0,0,0,1,0,1,0
3758.80344,0,0,0,0,0,0,0,0
