,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
659.57454,0.24136,0.06258,0.40609,0.12719,0.72758,0.05345,0.73376,0.05322
657.64596,0.23945,0.06503,0.39963,0.13583,0.73338,0.05026,0.73859,0.06252
655.71738,0.23762,0.06666,0.39271,0.1467,0.73905,0.04817,0.74365,0.07308
653.7888,0.2355,0.06758,0.38597,0.15929,0.74512,0.04686,0.74953,0.08496
651.86022,0.23219,0.06799,0.37914,0.17264,0.7514,0.04527,0.75563,0.09801
649.93164,0.22849,0.06946,0.37132,0.18667,0.75782,0.04366,0.7617,0.11226
648.00306,0.22559,0.07324,0.3618,0.20379,0.76397,0.04378,0.76813,0.12969
646.07448,0.22314,0.07662,0.35117,0.22485,0.76886,0.04567,0.77415,0.14991
644.1459,0.21956,0.07677,0.34064,0.24761,0.77337,0.04774,0.77994,0.17044
642.21732,0.2148,0.07543,0.33112,0.26984,0.7778,0.05006,0.7857,0.1905
640.28873,0.21004,0.076,0.32221,0.29146,0.78243,0.05329,0.79195,0.21121
638.36015,0.20405,0.07836,0.3124,0.31304,0.78723,0.05863,0.79926,0.23357
636.43157,0.19631,0.08045,0.30126,0.33503,0.79174,0.06561,0.80697,0.25704
634.50299,0.18735,0.08239,0.28934,0.35661,0.79627,0.07318,0.81506,0.28077
632.57441,0.17539,0.08473,0.27725,0.37685,0.80129,0.08165,0.82401,0.30544
630.64583,0.1609,0.08727,0.2661,0.39426,0.806,0.09114,0.83307,0.32952
628.71725,0.14705,0.09061,0.25643,0.40892,0.80946,0.10119,0.84108,0.35153
626.78867,0.13461,0.09387,0.24762,0.42228,0.81204,0.11174,0.8484,0.3716
624.86009,0.12161,0.0966,0.23935,0.43334,0.81487,0.12235,0.8559,0.38976
622.93151,0.10751,0.09929,0.2324,0.44075,0.81834,0.13312,0.86399,0.4056
621.00293,0.09455,0.10231,0.22758,0.44498,0.82166,0.14379,0.87183,0.41846
619.07435,0.08387,0.10548,0.22394,0.44712,0.82437,0.15408,0.87895,0.42842
617.14577,0.074,0.10957,0.22185,0.44594,0.82751,0.16458,0.88651,0.43575
615.21719,0.06538,0.11476,0.22226,0.44052,0.8314,0.17467,0.89452,0.43964
613.28861,0.05826,0.12039,0.22446,0.43217,0.83529,0.18372,0.90206,0.44057
611.36003,0.0526,0.12597,0.22725,0.4228,0.8386,0.19249,0.90891,0.43977
609.43145,0.04757,0.13116,0.2308,0.41245,0.84158,0.20118,0.91532,0.43759
607.50287,0.04294,0.13565,0.23463,0.40103,0.84414,0.20965,0.92116,0.43382
605.57429,0.03951,0.14038,0.23806,0.3892,0.84575,0.21807,0.92591,0.42895
603.6457,0.0378,0.14493,0.24134,0.3783,0.84614,0.22632,0.92928,0.42362
601.71712,0.0377,0.14838,0.24557,0.36849,0.84531,0.23405,0.93129,0.41774
599.78854,0.03834,0.15123,0.25076,0.35922,0.84371,0.24159,0.93253,0.41171
597.85996,0.03788,0.15378,0.25489,0.35125,0.8419,0.2492,0.93353,0.40709
595.93138,0.0373,0.15575,0.25696,0.34571,0.8397,0.25633,0.93385,0.40392
594.0028,0.03996,0.15785,0.25814,0.34256,0.83634,0.26268,0.93265,0.40068
592.07422,0.0454,0.16038,0.25935,0.34117,0.83177,0.26894,0.93029,0.39752
590.14564,0.04915,0.16191,0.2602,0.34098,0.82728,0.27542,0.92823,0.39589
588.21706,0.0504,0.16182,0.26064,0.34203,0.82355,0.28105,0.92669,0.39594
586.28848,0.0527,0.16073,0.2609,0.34489,0.81983,0.28546,0.92469,0.39629
584.3599,0.05609,0.15967,0.26057,0.34932,0.81573,0.28915,0.922,0.39721
582.43132,0.05987,0.15912,0.25893,0.35457,0.8118,0.29205,0.91899,0.39858
580.50274,0.06429,0.159,0.25673,0.35945,0.80829,0.29401,0.9159,0.39933
578.57416,0.06833,0.15897,0.25509,0.36341,0.80532,0.29538,0.91322,0.39975
576.64558,0.0727,0.15865,0.25409,0.36724,0.80264,0.29591,0.91074,0.39994
574.717,0.07798,0.15713,0.25325,0.37161,0.79976,0.29565,0.90788,0.39944
572.78842,0.08296,0.15456,0.25167,0.37698,0.79674,0.29468,0.9045,0.39919
570.85984,0.08768,0.15253,0.24933,0.38276,0.79415,0.29288,0.90096,0.39948
568.93126,0.09284,0.15101,0.24639,0.38787,0.79264,0.28996,0.89799,0.39912
567.00267,0.09721,0.14931,0.24329,0.39161,0.79167,0.28656,0.89553,0.39805
565.07409,0.10052,0.14772,0.24123,0.39474,0.79059,0.28396,0.89347,0.39745
563.14551,0.10461,0.14562,0.24083,0.39831,0.78897,0.28186,0.89105,0.3967
561.21693,0.1101,0.14334,0.24071,0.40216,0.78736,0.27865,0.88819,0.39525
559.28835,0.11443,0.14159,0.23949,0.40556,0.78654,0.27439,0.8856,0.39422
557.35977,0.11658,0.14016,0.23716,0.40861,0.78623,0.27056,0.88368,0.39426
555.43119,0.11943,0.13945,0.23495,0.41149,0.78605,0.26712,0.88213,0.39422
553.50261,0.12436,0.13861,0.23307,0.41478,0.78564,0.26276,0.87994,0.39318
551.57403,0.12941,0.13582,0.23105,0.41885,0.78476,0.25744,0.87668,0.39142
549.64545,0.13498,0.13148,0.22965,0.42283,0.78307,0.25274,0.87276,0.38837
547.71687,0.1411,0.12788,0.22974,0.42551,0.78126,0.24916,0.86944,0.38471
545.78829,0.14594,0.126,0.22975,0.42693,0.78009,0.24583,0.86703,0.38187
543.85971,0.14951,0.12482,0.22767,0.42816,0.77987,0.24144,0.8651,0.37973
541.93113,0.15294,0.12333,0.22443,0.42937,0.77989,0.23625,0.86298,0.37723
540.00255,0.15751,0.12011,0.22164,0.43053,0.77918,0.23102,0.86003,0.37298
538.07397,0.16359,0.11632,0.22072,0.43074,0.77771,0.22625,0.85639,0.36684
536.14539,0.17018,0.11424,0.22147,0.42986,0.77601,0.22146,0.85255,0.36073
